
 ################################################## 
TRAIN 9-db3-clean-data 
Data Prepared:
 	TRAIN:10080
 	VALID:560
 	TEST:560
75 	train loss=0.693 	train acc=0.503 	valid loss=0.693 	valid acc=0.516 
76 	train loss=0.694 	train acc=0.491 	valid loss=0.695 	valid acc=0.475 
77 	train loss=0.694 	train acc=0.493 	valid loss=0.693 	valid acc=0.487 
78 	train loss=0.693 	train acc=0.498 	valid loss=0.694 	valid acc=0.484 
79 	train loss=0.693 	train acc=0.503 	valid loss=0.693 	valid acc=0.511 
80 	train loss=0.693 	train acc=0.502 	valid loss=0.695 	valid acc=0.482 
81 	train loss=0.693 	train acc=0.498 	valid loss=0.693 	valid acc=0.521 
82 	train loss=0.693 	train acc=0.501 	valid loss=0.694 	valid acc=0.502 
83 	train loss=0.694 	train acc=0.499 	valid loss=0.693 	valid acc=0.511 
84 	train loss=0.694 	train acc=0.490 	valid loss=0.692 	valid acc=0.489 
85 	train loss=0.693 	train acc=0.499 	valid loss=0.694 	valid acc=0.496 
86 	train loss=0.693 	train acc=0.501 	valid loss=0.691 	valid acc=0.552 
87 	train loss=0.693 	train acc=0.506 	valid loss=0.694 	valid acc=0.502 
88 	train loss=0.693 	train acc=0.502 	valid loss=0.694 	valid acc=0.489 
89 	train loss=0.694 	train acc=0.491 	valid loss=0.692 	valid acc=0.534 
90 	train loss=0.693 	train acc=0.503 	valid loss=0.693 	valid acc=0.527 
91 	train loss=0.693 	train acc=0.503 	valid loss=0.694 	valid acc=0.529 
92 	train loss=0.693 	train acc=0.498 	valid loss=0.694 	valid acc=0.498 
93 	train loss=0.694 	train acc=0.505 	valid loss=0.694 	valid acc=0.473 
94 	train loss=0.693 	train acc=0.504 	valid loss=0.695 	valid acc=0.471 
95 	train loss=0.693 	train acc=0.498 	valid loss=0.694 	valid acc=0.491 
96 	train loss=0.693 	train acc=0.503 	valid loss=0.693 	valid acc=0.487 
97 	train loss=0.693 	train acc=0.505 	valid loss=0.693 	valid acc=0.504 
98 	train loss=0.693 	train acc=0.510 	valid loss=0.692 	valid acc=0.505 
99 	train loss=0.693 	train acc=0.502 	valid loss=0.694 	valid acc=0.495 
100 	train loss=0.694 	train acc=0.498 	valid loss=0.691 	valid acc=0.505 
101 	train loss=0.693 	train acc=0.499 	valid loss=0.694 	valid acc=0.493 
102 	train loss=0.693 	train acc=0.499 	valid loss=0.694 	valid acc=0.495 
103 	train loss=0.693 	train acc=0.501 	valid loss=0.694 	valid acc=0.507 
104 	train loss=0.693 	train acc=0.500 	valid loss=0.694 	valid acc=0.529 
105 	train loss=0.693 	train acc=0.496 	valid loss=0.693 	valid acc=0.491 
106 	train loss=0.693 	train acc=0.500 	valid loss=0.693 	valid acc=0.523 
107 	train loss=0.694 	train acc=0.491 	valid loss=0.693 	valid acc=0.504 
108 	train loss=0.693 	train acc=0.505 	valid loss=0.694 	valid acc=0.486 
109 	train loss=0.693 	train acc=0.510 	valid loss=0.693 	valid acc=0.521 
110 	train loss=0.693 	train acc=0.500 	valid loss=0.694 	valid acc=0.493 
111 	train loss=0.693 	train acc=0.498 	valid loss=0.693 	valid acc=0.471 
112 	train loss=0.693 	train acc=0.498 	valid loss=0.695 	valid acc=0.470 
